,Date,Type,Chain,Market,APY %,Weight %
0,2026-01-01,Pendle LP,ethereum,PT-reUSDe-25JUN2026,18.95,14.29
1,2026-01-01,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.59,14.29
2,2026-01-01,Pendle LP,ethereum,PT-srUSDe-2APR2026,9.08,14.29
3,2026-01-01,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,14.29
4,2026-01-01,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,14.29
5,2026-01-01,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,14.29
6,2026-01-01,Uniswap MM,arbitrum,WBTC/USDC,7.72,14.29
7,2026-01-02,Pendle LP,ethereum,PT-reUSDe-25JUN2026,19.46,6.67
8,2026-01-02,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.86,6.67
9,2026-01-02,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,6.67
10,2026-01-02,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,6.67
11,2026-01-02,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,6.67
12,2026-01-02,Uniswap MM,arbitrum,ETH/USDC,39.38,6.67
13,2026-01-02,Uniswap MM,mainnet,ETH/USDC,14.62,6.67
14,2026-01-02,Uniswap MM,unichain,ETH/USDC,6.63,6.67
15,2026-01-02,Uniswap MM,arbitrum,ETH/USDT,14.27,6.67
16,2026-01-02,Uniswap MM,mainnet,ETH/USDT,8.6,6.67
17,2026-01-02,Uniswap MM,arbitrum,WBTC/USDC,43.53,6.67
18,2026-01-02,Uniswap MM,mainnet,WBTC/USDC,9.2,6.67
19,2026-01-02,Uniswap MM,unichain,WBTC/USDC,13.66,6.67
20,2026-01-02,Uniswap MM,mainnet,WBTC/USDT,15.94,6.67
21,2026-01-02,Uniswap MM,unichain,WBTC/USDT,6.52,6.67
22,2026-01-03,Pendle LP,ethereum,PT-reUSDe-25JUN2026,19.46,14.29
23,2026-01-03,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.8,14.29
24,2026-01-03,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,14.29
25,2026-01-03,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,14.29
26,2026-01-03,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,14.29
27,2026-01-03,Uniswap MM,arbitrum,ETH/USDC,10.63,14.29
28,2026-01-03,Uniswap MM,arbitrum,WBTC/USDC,12.3,14.29
29,2026-01-04,Pendle LP,ethereum,PT-reUSDe-25JUN2026,19.34,12.5
30,2026-01-04,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.91,12.5
31,2026-01-04,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,12.5
32,2026-01-04,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,12.5
33,2026-01-04,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,12.5
34,2026-01-04,Uniswap MM,arbitrum,ETH/USDC,15.82,12.5
35,2026-01-04,Uniswap MM,mainnet,ETH/USDC,6.67,12.5
36,2026-01-04,Uniswap MM,arbitrum,WBTC/USDC,16.54,12.5
37,2026-01-05,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.87,7.14
38,2026-01-05,Pendle LP,ethereum,PT-sNUSD-5MAR2026,16.01,7.14
39,2026-01-05,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,7.14
40,2026-01-05,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,7.14
41,2026-01-05,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,7.14
42,2026-01-05,Uniswap MM,arbitrum,ETH/USDC,38.66,7.14
43,2026-01-05,Uniswap MM,mainnet,ETH/USDC,25.82,7.14
44,2026-01-05,Uniswap MM,unichain,ETH/USDC,6.86,7.14
45,2026-01-05,Uniswap MM,arbitrum,ETH/USDT,15.59,7.14
46,2026-01-05,Uniswap MM,mainnet,ETH/USDT,8.89,7.14
47,2026-01-05,Uniswap MM,arbitrum,WBTC/USDC,37.25,7.14
48,2026-01-05,Uniswap MM,mainnet,WBTC/USDC,7.52,7.14
49,2026-01-05,Uniswap MM,unichain,WBTC/USDC,10.31,7.14
50,2026-01-05,Uniswap MM,mainnet,WBTC/USDT,14.15,7.14
51,2026-01-06,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.68,7.14
52,2026-01-06,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.79,7.14
53,2026-01-06,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,7.14
54,2026-01-06,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,7.14
55,2026-01-06,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,7.14
56,2026-01-06,Uniswap MM,arbitrum,ETH/USDC,38.18,7.14
57,2026-01-06,Uniswap MM,mainnet,ETH/USDC,28.8,7.14
58,2026-01-06,Uniswap MM,unichain,ETH/USDC,7.17,7.14
59,2026-01-06,Uniswap MM,arbitrum,ETH/USDT,15.28,7.14
60,2026-01-06,Uniswap MM,mainnet,ETH/USDT,10.05,7.14
61,2026-01-06,Uniswap MM,arbitrum,WBTC/USDC,39.28,7.14
62,2026-01-06,Uniswap MM,mainnet,WBTC/USDC,7.7,7.14
63,2026-01-06,Uniswap MM,unichain,WBTC/USDC,12.67,7.14
64,2026-01-06,Uniswap MM,mainnet,WBTC/USDT,16.11,7.14
65,2026-01-07,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.56,7.69
66,2026-01-07,Pendle LP,ethereum,PT-sNUSD-5MAR2026,15.51,7.69
67,2026-01-07,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,7.69
68,2026-01-07,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,7.69
69,2026-01-07,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,7.69
70,2026-01-07,Uniswap MM,arbitrum,ETH/USDC,36.52,7.69
71,2026-01-07,Uniswap MM,mainnet,ETH/USDC,20.88,7.69
72,2026-01-07,Uniswap MM,unichain,ETH/USDC,6.6,7.69
73,2026-01-07,Uniswap MM,arbitrum,ETH/USDT,13.93,7.69
74,2026-01-07,Uniswap MM,mainnet,ETH/USDT,7.68,7.69
75,2026-01-07,Uniswap MM,arbitrum,WBTC/USDC,34.8,7.69
76,2026-01-07,Uniswap MM,unichain,WBTC/USDC,9,7.69
77,2026-01-07,Uniswap MM,mainnet,WBTC/USDT,9.76,7.69
