,Date,Portfolio APY %,# Positions,# Uni,# LP,# PT,Min APY %,Max APY %
0,2025-11-01,9.03,7,5,1,1,6.56,12.76
1,2025-11-02,13.29,8,7,0,1,6.56,26.82
2,2025-11-03,66.68,11,10,0,1,6.56,271.65
3,2025-11-04,69.41,13,11,1,1,6.56,287
4,2025-11-05,29.52,13,11,1,1,6.56,157.35
5,2025-11-06,32.88,12,11,0,1,6.56,176.22
6,2025-11-07,37.05,12,11,0,1,6.56,168.13
7,2025-11-08,17.07,10,9,0,1,6.56,44.26
8,2025-11-09,25.07,12,10,1,1,6.56,121.1
9,2025-11-10,18.19,12,10,1,1,6.56,37.61
10,2025-11-11,20.55,13,11,1,1,6.56,51.23
11,2025-11-12,21.87,13,11,1,1,6.56,41.51
12,2025-11-13,44.58,13,12,0,1,6.56,82.3
13,2025-11-14,45.34,12,11,0,1,6.56,99.39
14,2025-11-15,14.06,9,8,0,1,6.56,22.22
15,2025-11-16,22.67,12,11,0,1,6.56,55.34
16,2025-11-17,30.11,13,12,0,1,6.56,63.74
17,2025-11-18,30.4,13,12,0,1,6.56,60.6
18,2025-11-19,23.83,12,11,0,1,6.56,57.36
19,2025-11-20,25.12,12,11,0,1,6.56,63.29
20,2025-11-21,41.42,12,11,0,1,6.56,117.26
21,2025-11-22,11.1,7,6,0,1,6.56,29.84
22,2025-11-23,11.67,9,8,0,1,6.56,31.32
23,2025-11-24,18.29,11,10,0,1,6.56,49.74
24,2025-11-25,14.8,10,9,0,1,6.56,34.54
25,2025-11-26,12.99,10,9,0,1,6.56,31.42
26,2025-11-27,12.17,8,6,0,2,6.56,25.14
27,2025-11-28,14.82,11,8,0,3,6.56,35.79
28,2025-11-29,11.2,6,3,0,3,6.53,18
29,2025-11-30,12.2,5,2,0,3,6.56,18
30,2025-12-01,19.09,13,10,0,3,6.56,49.65
31,2025-12-02,17.95,13,9,1,3,6.56,41.69
32,2025-12-03,19.86,14,10,1,3,6.56,53.29
33,2025-12-04,16.65,14,9,2,3,6.56,39.48
34,2025-12-05,18.24,13,8,2,3,6.56,44.96
35,2025-12-06,12.22,8,3,2,3,6.56,25.6
36,2025-12-07,17.79,12,8,1,3,6.56,35.85
37,2025-12-08,18.75,12,8,1,3,6.56,41.35
38,2025-12-09,17.06,14,10,1,3,6.56,45.18
39,2025-12-10,20.57,14,10,1,3,6.56,49.09
40,2025-12-11,18.96,16,10,2,4,6.56,53.54
41,2025-12-12,16.34,14,8,2,4,6.56,38.34
42,2025-12-13,14.99,6,0,2,4,6.56,20
43,2025-12-14,13.42,12,6,2,4,6.55,21.7
44,2025-12-15,21.24,17,11,2,4,6.56,52.43
45,2025-12-16,18.55,16,10,2,4,6.56,44.3
46,2025-12-17,20.11,17,11,2,4,6.56,55.03
47,2025-12-18,21.03,18,11,3,4,6.56,64.22
48,2025-12-19,17.51,18,11,3,4,6.56,55.61
49,2025-12-20,15.56,6,0,2,4,6.56,22.9
50,2025-12-21,13.63,9,3,2,4,6.56,21.83
51,2025-12-22,15.69,16,10,2,4,6.56,44.44
52,2025-12-23,13.72,14,8,2,4,6.56,34.67
53,2025-12-24,12.83,10,4,2,4,6.56,20
54,2025-12-25,14.65,7,1,2,4,6.56,21.85
55,2025-12-26,13.86,14,8,2,4,6.56,31.35
56,2025-12-27,15,6,0,2,4,6.56,21.82
57,2025-12-28,14.95,6,0,2,4,6.56,21.36
58,2025-12-29,14.6,15,9,2,4,6.56,34.31
59,2025-12-30,13.33,12,6,2,4,6.56,26.49
