chain,label,address,underlying,category,expiry,expired_in_period,data_points,date_start,date_end,avg_tvl_usd,max_tvl_usd,avg_implied_apy_pct,avg_base_lp_apy_pct,entry_implied_apy_pct,csv_file
ethereum,PT-sUSDE-5FEB2026,0xed81f8ba2941c3979de2265c295748a6b6956567,sUSDe,stablecoin,2026-02-05,True,96,2025-11-01T00:00:00.000Z,2026-02-04T00:00:00.000Z,31192445.0,45846936.0,5.11,5.14,6.56,data/pendle/ethereum_PT-sUSDE-5FEB2026.csv
ethereum,PT-USDe-5FEB2026,0xaadbc004dacf10e1fdbd87ca1a40ecaf77cc5b02,USDe,stablecoin,2026-02-05,True,96,2025-11-01T00:00:00.000Z,2026-02-04T00:00:00.000Z,1489901.0,3237940.0,5.13,2.56,5.22,data/pendle/ethereum_PT-USDe-5FEB2026.csv
ethereum,PT-iUSD-19FEB2026,0x3d39e4d42b3f6b493ee52ad5a0d8cb222f03f152,iUSD,stablecoin,2026-02-19,True,86,2025-11-25T00:00:00.000Z,2026-02-18T00:00:00.000Z,10137090.0,13458196.0,7.33,1.66,10.0,data/pendle/ethereum_PT-iUSD-19FEB2026.csv
ethereum,PT-uniBTC-19FEB2026,0xcdeb0bab0d9188aab00f06410254a4943403c44b,uniBTC,btc,2026-02-19,True,80,2025-12-01T00:00:00.000Z,2026-02-18T00:00:00.000Z,590874.0,900673.0,0.69,0.78,1.0,data/pendle/ethereum_PT-uniBTC-19FEB2026.csv
ethereum,PT-sNUSD-5MAR2026,0x6d8c4de7071d5aee27fc3a810764e62a4a00ceb9,sNUSD,stablecoin,2026-03-05,True,97,2025-11-28T00:00:00.000Z,2026-03-04T00:00:00.000Z,30791886.0,48094987.0,13.68,13.62,18.0,data/pendle/ethereum_PT-sNUSD-5MAR2026.csv
ethereum,PT-srUSDe-2APR2026,0xafb7d6d1e9bca5b675adc9b4f52f0cdfddec9654,srUSDe,stablecoin,2026-04-02,False,95,2025-12-28T00:00:00.000Z,2026-04-01T00:00:00.000Z,18434915.0,25718237.0,4.53,3.93,7.0,data/pendle/ethereum_PT-srUSDe-2APR2026.csv
ethereum,PT-apyUSD-18JUN2026,0x3c53fae231ad3c0408a8b6d33138bbff1caec330,apyUSD,stablecoin,2026-06-18,False,34,2026-02-27T00:00:00.000Z,2026-04-01T00:00:00.000Z,7176575.0,11225615.0,14.56,45.73,18.0,data/pendle/ethereum_PT-apyUSD-18JUN2026.csv
ethereum,PT-reUSDe-25JUN2026,0x6cb9a013604a567a5834fadd411165b1ca616783,reUSDe,stablecoin,2026-06-25,False,112,2025-12-11T00:00:00.000Z,2026-04-01T00:00:00.000Z,3356980.0,5513801.0,13.92,17.6,20.0,data/pendle/ethereum_PT-reUSDe-25JUN2026.csv
ethereum,PT-msY-9APR2026,0xe2aef2a77a2db2757455d799fb1ceb2a3ea7a04c,msY,stablecoin,2026-04-09,False,77,2026-01-15T00:00:00.000Z,2026-04-01T00:00:00.000Z,3172259.0,3670028.0,12.15,12.19,13.0,data/pendle/ethereum_PT-msY-9APR2026.csv
ethereum,PT-ynRWAx-15OCT2026,0xfce3f966a131c46a51b896ceea3917bc4c302577,ynRWAx,rwa,2026-10-15,False,152,2025-11-01T00:00:00.000Z,2026-04-01T00:00:00.000Z,251789.0,782184.0,10.83,19.34,11.0,data/pendle/ethereum_PT-ynRWAx-15OCT2026.csv
ethereum,PT-jrNUSD-28MAY2026,0x9f56fbe66110f4a0bc9a6ced9c35c4cfdfefb92f,jrNUSD,stablecoin,2026-05-28,False,52,2026-02-09T00:00:00.000Z,2026-04-01T00:00:00.000Z,2462380.0,3349191.0,9.85,21.84,16.0,data/pendle/ethereum_PT-jrNUSD-28MAY2026.csv
arbitrum,PT-thBILL-18JUN2026,0x22d95cec2b962c142fff9be88cfc7ef15043419f,thBILL,rwa,2026-06-18,False,53,2026-02-08T00:00:00.000Z,2026-04-01T00:00:00.000Z,1538137.0,2361204.0,5.77,11.85,8.0,data/pendle/arbitrum_PT-thBILL-18JUN2026.csv
arbitrum,PT-USDai-18JUN2026,0x8a8a557b90ec79496a18a1f9c9da8bbd7db86fd3,USDai,stablecoin,2026-06-18,False,49,2026-02-12T00:00:00.000Z,2026-04-01T00:00:00.000Z,629411.0,1451445.0,5.43,18.23,7.99,data/pendle/arbitrum_PT-USDai-18JUN2026.csv
arbitrum,PT-sUSDai-15OCT2026,0xcbf629c8d396b1261f81f55175afa010e94787d8,sUSDai,stablecoin,2026-10-15,False,49,2026-02-12T00:00:00.000Z,2026-04-01T00:00:00.000Z,11154758.0,19091462.0,8.11,34.43,12.0,data/pendle/arbitrum_PT-sUSDai-15OCT2026.csv
arbitrum,PT-weETH-25JUN2026,0x46d62a8dede1bf2d0de04f2ed863245cbba5e538,weETH,eth,2026-06-25,False,152,2025-11-01T00:00:00.000Z,2026-04-01T00:00:00.000Z,3188435.0,5351165.0,2.7,3.64,2.61,data/pendle/arbitrum_PT-weETH-25JUN2026.csv
arbitrum,PT-wstETH-25JUN2026,0xf78452e0f5c0b95fc5dc8353b8cd1e06e53fa25b,wstETH,eth,2026-06-25,False,152,2025-11-01T00:00:00.000Z,2026-04-01T00:00:00.000Z,696229.0,1142720.0,2.52,2.76,2.57,data/pendle/arbitrum_PT-wstETH-25JUN2026.csv
