chain,pool_label,pool_address,pool_name,fee_pct,current_tvl_usd,ohlcv_days,avg_daily_volume_usd,current_fee_apy_pct,avg_fee_apy_pct,min_fee_apy_pct,max_fee_apy_pct,csv_file
mainnet,ETH/USDC,0xdce6394339af00981949f5f3baf27e3610c76326a700af57e4b3e3ae4977f78d,ETH / USDC 0.3%,0.3,31359861.4466,152,5432365.0,11.35792107140745,18.97,0.77,99.39,data/uniswap/mainnet_ETH_USDC_ohlcv.csv
mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,ETH / USDT 0.05%,0.05,20839460.895,152,9329726.0,21.64202084747695,8.17,1.33,37.56,data/uniswap/mainnet_ETH_USDT_ohlcv.csv
mainnet,WBTC/USDC,0xb98437c7ba28c6590dd4e1cc46aa89eed181f97108e5b6221730d41347bc817f,USDC / WBTC 0.3%,0.3,9137539.3856,152,1630785.0,29.28891224796704,19.54,0.17,271.65,data/uniswap/mainnet_WBTC_USDC_ohlcv.csv
mainnet,USDC/cbBTC,0x7067a500ad68cf5129b957fa62c97042cddccaa15d16cb91e3720d97971109bb,USDC / cbBTC 0.3%,0.3,9264850.8538,140,752036.0,23.96329324267225,8.89,0.0,79.37,data/uniswap/mainnet_USDC_cbBTC_ohlcv.csv
mainnet,WBTC/USDT,0x20c3a15e34e5d88aeba004b0753af69e4f6bea80eae2263f7a92e919cd33cc56,USDT / WBTC 0.3%,0.3,9905189.895,152,1921028.0,10.502546226827425,21.24,0.24,287.0,data/uniswap/mainnet_WBTC_USDT_ohlcv.csv
arbitrum,ETH/USDC,0x864abca0a6202dba5b8868772308da953ff125b0f95015adbf89aaf579e903a8,ETH / USDC 0.05%,0.05,5938104.9542,152,5907647.0,42.27603885703846,18.16,1.82,59.66,data/uniswap/arbitrum_ETH_USDC_ohlcv.csv
arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,ETH / USDT 0.05%,0.05,1428745.9328,152,983629.0,4.700801386218536,12.56,0.77,40.32,data/uniswap/arbitrum_ETH_USDT_ohlcv.csv
arbitrum,WBTC/USDC,0x80c735c5a0222241f211b3edb8df2ccefad94553ec18f1c29143f0399c78f500,WBTC / USDC 0.05%,0.05,8021122.1073,152,12149478.0,22.770076782338144,27.64,1.26,88.63,data/uniswap/arbitrum_WBTC_USDC_ohlcv.csv
arbitrum,WBTC/USDT,0x41b1e6b28a39199365f5348a2bf71d0f785167e920d05254b3f2efd1b9487db5,WBTC / USDT 0.05%,0.05,1547378.8774,152,1128643.0,17.920509270175156,13.31,0.11,112.11,data/uniswap/arbitrum_WBTC_USDT_ohlcv.csv
unichain,ETH/USDC,0x3258f413c7a88cda2fa8709a589d221a80f6574f63df5a5b6774485d8acc39d9,USDC / ETH 0.05%,0.05,37972528.4367,152,17588292.0,1.4601552761509011,8.45,0.27,62.74,data/uniswap/unichain_ETH_USDC_ohlcv.csv
unichain,ETH/USDT,0x04b7dd024db64cfbe325191c818266e4776918cd9eaf021c26949a859e654b16,USD0 / ETH 0.05%,0.05,17763893.7368,152,2688149.0,0.31389067446053437,2.76,0.07,27.68,data/uniswap/unichain_ETH_USDT_ohlcv.csv
unichain,WBTC/USDC,0xbd0f3a7cf4cf5f48ebe850474c8c0012fa5fe893ab811a8b8743a52b83aa8939,WBTC / USDC 0.3%,0.3,6312764.6615,152,567494.0,4.927414105402285,9.84,0.22,76.15,data/uniswap/unichain_WBTC_USDC_ohlcv.csv
unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,WBTC / USD0 0.05%,0.05,2918728.0024,152,1080747.0,0.4771802557452499,6.76,0.09,46.75,data/uniswap/unichain_WBTC_USDT_ohlcv.csv
