date,portfolio_apy_pct,n_positions,n_uniswap,n_pendle_lp,n_pendle_pt,min_position_apy,max_position_apy
2026-01-01,20.4525089756009,4,0,3,1,14.857768067373687,32.40487215718367
2026-01-02,23.72030615910466,9,5,3,1,14.274146457182647,43.53269975164461
2026-01-03,21.346398915889665,4,0,3,1,14.857768067373687,35.26847856227067
2026-01-04,19.639095348524105,6,2,3,1,14.857768067373687,35.37567759762128
2026-01-05,23.563613633590904,9,5,3,1,14.149218895889463,38.662611970245976
2026-01-06,24.051942994813217,9,5,3,1,14.857768067373687,39.27807191288168
2026-01-07,24.121195926158943,7,3,3,1,14.857768067373687,36.51502350874481
2026-01-08,22.588670406983333,7,3,3,1,14.857768067373687,36.46407532057336
2026-01-09,23.101792117783468,7,4,2,1,14.231370921216936,38.31715640253439
2026-01-10,14.948345002786192,3,0,2,1,14.394049017014002,15.593217923970888
2026-01-11,14.938472332397017,3,0,2,1,14.248978313456972,15.708670616360395
2026-01-12,25.791728849303002,6,4,1,1,14.857768067373687,43.7870442093322
2026-01-13,28.309037549873786,8,6,1,1,14.308703819958335,48.71617062540173
2026-01-14,26.250069370554353,7,5,1,1,14.296571681158817,52.288795523923326
2026-01-15,27.74765483485614,6,4,1,1,14.77144093095999,47.71569366085209
2026-01-16,18.54403575812641,5,3,1,1,14.734324802486196,26.02708750302667
2026-01-17,14.772895676689943,2,0,1,1,14.6880232860062,14.857768067373687
2026-01-18,15.28307079284678,3,1,1,1,14.59182718685465,16.39961712431201
2026-01-19,24.013234998765004,7,5,1,1,14.543548797367675,39.28644842807617
2026-01-20,27.798378096835634,9,7,1,1,14.127567480600757,55.89960371120802
2026-01-21,32.22332804247888,9,7,1,1,14.857768067373687,65.7878730641871
2026-01-22,22.447453753233056,7,5,1,1,14.627939542906418,32.96767195735372
2026-01-23,23.572912470594208,5,3,1,1,14.857768067373687,33.99434215521517
2026-01-24,17.661649772269932,2,0,1,1,14.857768067373687,20.46553147716618
2026-01-25,19.792067703307882,5,3,1,1,14.828861336423854,31.0712137898296
2026-01-26,22.068044855983953,7,5,1,1,14.857768067373687,38.36348217115133
2026-01-27,21.370484479299495,6,4,1,1,14.857768067373687,32.55037101083395
2026-01-28,27.13881653151488,6,4,1,1,14.857768067373687,41.27819546465557
2026-01-29,22.211050830501087,10,7,2,1,14.857768067373687,48.46877648224701
2026-01-30,24.27810953441766,13,10,2,1,14.657962203984804,56.845772487975445
2026-01-31,24.035419112331304,10,7,2,1,14.857768067373687,49.49074166342361
2026-02-01,19.718874146090794,7,4,2,1,14.329508085691698,36.032178217581546
2026-02-02,20.300801838943432,10,7,2,1,14.210276802102277,52.38131496529763
2026-02-03,21.04935092119184,7,4,2,1,14.857768067373687,38.68718523925737
2026-02-04,20.186534425624348,9,5,3,1,14.857768067373687,32.93215743949391
2026-02-05,33.11724549208,10,7,2,1,14.857768067373687,62.86756347803788
2026-02-06,37.08063437444074,12,9,2,1,14.857768067373687,128.85527204173042
2026-02-07,36.8686275666562,10,7,2,1,14.857768067373687,153.9618367707906
2026-02-08,33.08057792096494,9,5,3,1,14.677661420220453,94.4762241634028
2026-02-09,37.9098433714134,10,6,3,1,14.857768067373687,121.58454126978955
2026-02-10,34.59290928071723,7,3,3,1,14.857768067373687,95.86908911365938
2026-02-11,31.409451346835915,9,5,3,1,14.767460643362556,126.12809999226836
2026-02-12,26.331115264948945,7,3,3,1,14.229520650564544,76.17374946947388
2026-02-13,114.50819824577965,7,2,4,1,14.857768067373687,639.0212022640839
2026-02-14,94.69566350403956,6,1,4,1,14.857768067373687,461.63455462974434
2026-02-15,96.3150815456909,7,1,5,1,14.857768067373687,442.841445024909
2026-02-16,67.9448821516043,9,3,5,1,14.114643103436627,336.2299573231524
2026-02-17,38.846523354672506,8,2,5,1,14.65332930791302,106.09354532204767
2026-02-18,43.35243113753072,6,1,4,1,14.857768067373687,100.8740603059371
2026-02-19,25.34400243335469,6,1,4,1,14.857768067373687,51.6119037559649
2026-02-20,23.734776969316364,8,4,3,1,14.778471829114997,73.03230113022762
2026-02-21,15.678472782649127,5,1,3,1,14.857768067373687,16.554139108471077
2026-02-22,15.077184129459603,4,1,2,1,14.857768067373687,15.512088063480412
2026-02-23,21.851641843319374,7,4,2,1,14.857768067373687,41.45105587441747
2026-02-24,20.12983537274597,6,3,2,1,14.857768067373687,42.99264620864654
2026-02-25,25.370064552555586,9,6,2,1,14.667821556440778,59.293064426832984
2026-02-26,23.52485456697609,5,3,1,1,14.857768067373687,41.242251778011926
2026-02-27,19.314071623228134,6,4,1,1,14.768456586665538,29.080784437222945
2026-02-28,23.49541628967573,9,6,2,1,14.150157995257675,34.57480144236621
2026-03-01,109.14575946075593,11,7,2,2,14.857768067373687,939.2562495142906
2026-03-02,43.56562835839174,11,7,2,2,14.857768067373687,145.2314223739284
2026-03-03,36.92500437643855,12,7,3,2,14.471688467131203,125.72948029946728
2026-03-04,37.32956629663446,14,9,3,2,14.67754161546443,116.23258686650284
2026-03-05,28.825627296674664,12,6,4,2,14.183528017886951,61.513588349350165
2026-03-06,26.588536763610804,11,6,3,2,14.857768067373687,46.27893927449994
2026-03-07,23.0111951910977,5,0,3,2,14.857768067373687,36.26628933837745
2026-03-08,22.2095874904632,8,3,3,2,14.806550377604491,36.2118545092751
2026-03-09,26.733102089222196,12,7,3,2,14.665019604743184,61.47558406873955
2026-03-10,29.91202489298179,11,6,3,2,14.857768067373687,63.59549716918084
2026-03-11,25.355102281967905,11,6,3,2,14.857768067373687,48.1503754445048
2026-03-12,22.155696890158122,9,4,3,2,14.857768067373687,39.96666550051201
